"","...1","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"sp6167"," 6167","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__aeria"
"sp6168"," 6168","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__rishikesha"
"sp6169"," 6169","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"sp6170"," 6170","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Erysiphe",NA
"sp6175"," 6175","k__Fungi","p__Kickxellomycota","c__Ramicandelaberomycetes","o__Ramicandelaberales","f__Ramicandelaberaceae","g__Ramicandelaber",NA
"sp6176"," 6176","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Pisolithaceae","g__Pisolithus","s__arhizus"
"sp6177"," 6177","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Cephalotrichum","s__stemonitis"
"sp6178"," 6178","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Pisolithaceae","g__Pisolithus","s__arhizus"
"sp6179"," 6179","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"sp6180"," 6180","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Monosporascus",NA
"sp6181"," 6181","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"sp6182"," 6182","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Rhodocollybia","s__butyracea"
"sp6183"," 6183","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"sp6184"," 6184","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"sp6185"," 6185","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"sp6187"," 6187","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Hericiaceae","g__Hericium","s__yumthangense"
"sp6188"," 6188","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__populi"
"sp6189"," 6189","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__subhashii"
"sp6190"," 6190","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiaceae","g__Myrmecridium","s__schulzeri"
"sp6191"," 6191","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"sp6192"," 6192","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Keratinophyton","s__straussii"
"sp6195"," 6195","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Microascus","s__anfractus"
"sp6201"," 6201","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","s__tenuissimum"
"sp6209"," 6209","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Pisolithaceae","g__Pisolithus","s__arhizus"
"sp6210"," 6210","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliomycetes_ord_Incertae_sedis","f__Orbiliomycetes_fam_Incertae_sedis","g__Orbiliomycetes_gen_Incertae_sedis",NA
"sp6211"," 6211","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cuniculitremaceae","g__Kockovaella","s__lichenicola"
"sp6213"," 6213","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"sp6214"," 6214","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma",NA
"sp6215"," 6215","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__rishikesha"
