"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"323","sp505",505,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","bilaiae","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"324","sp506",506,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster","ambiguus","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","long-distance","/paxillus-gyrodon"
"325","sp508",508,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","minioluteus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"326","sp510",510,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia",NA,"soil_saprotroph","rock-inhabiting",NA,NA,NA,NA,NA
"327","sp511",511,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"328","sp512",512,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA,"mycoparasite","foliar_endophyte","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"329","sp513",513,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"330","sp514",514,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","neocrassum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"331","sp515",515,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"332","sp517",517,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","dehoogii","soil_saprotroph",NA,NA,NA,"none",NA,NA
"333","sp518",518,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","pimiteouiense","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"334","sp519",519,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","baronii","litter_saprotroph",NA,NA,NA,"agaricoid",NA,NA
"335","sp520",520,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon",NA,"animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"336","sp521",521,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudocamarosporium","africanum","wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"337","sp522",522,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"338","sp523",523,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia",NA,"wood_saprotroph",NA,NA,NA,"tremelloid",NA,NA
"339","sp525",525,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"340","sp529",529,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"341","sp530",530,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus",NA,"litter_saprotroph",NA,NA,NA,"agaricoid",NA,NA
"342","sp534",534,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","neocrassum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"343","sp535",535,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","olida","litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"344","sp537",537,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"litter_saprotroph","plant_pathogen",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"345","sp540",540,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"346","sp541",541,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum","stemonitis","soil_saprotroph",NA,NA,NA,"none",NA,NA
"347","sp542",542,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","rugulosus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"348","sp545",545,"Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Occultifur",NA,"mycoparasite","litter_saprotroph",NA,NA,"none",NA,NA
"349","sp546",546,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"350","sp547",547,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","rosacearum","wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"351","sp548",548,"Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion",NA,"wood_saprotroph",NA,"soft_rot",NA,"hysterothecium_(opening_slith-like)",NA,NA
"352","sp549",549,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","resedanus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"353","sp550",550,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","intermedia","litter_saprotroph",NA,NA,NA,NA,NA,NA
"354","sp552",552,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","terricola","dung_saprotroph",NA,NA,NA,"cleistothecium_(closed,_spherical)",NA,NA
"355","sp553",553,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus",NA,"litter_saprotroph",NA,NA,NA,"agaricoid",NA,NA
"356","sp554",554,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","tephrensis","soil_saprotroph",NA,NA,NA,NA,NA,NA
"357","sp555",555,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia",NA,"wood_saprotroph",NA,NA,NA,"tremelloid",NA,NA
"358","sp558",558,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,NA,NA,NA
"359","sp559",559,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Arthrographis",NA,"unspecified_saprotroph","animal_decomposer",NA,NA,NA,NA,NA
"360","sp560",560,"Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Udeniozyma",NA,"unspecified",NA,NA,NA,"none",NA,NA
"361","sp562",562,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","arrhizus","soil_saprotroph","plant_pathogen","mold",NA,"none",NA,NA
"362","sp563",563,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Trichothecium","roseum","plant_pathogen","litter_saprotroph",NA,NA,NA,NA,NA
"363","sp564",564,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum","asperulum","soil_saprotroph",NA,NA,NA,"none",NA,NA
"364","sp565",565,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Enterocarpus","grenotii","dung_saprotroph","animal_decomposer",NA,NA,"cleistothecium_(closed,_spherical)",NA,NA
"365","sp568",568,"Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium",NA,"algal_parasite","plant_pathogen",NA,NA,"zoosporangium",NA,NA
"366","sp570",570,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","lapidosum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"367","sp572",572,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","pullulans","sooty_mold","litter_saprotroph",NA,NA,NA,NA,NA
"368","sp575",575,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Spegazzinia","radermacherae","wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"369","sp576",576,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster","ambiguus","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","long-distance","/paxillus-gyrodon"
"370","sp577",577,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA,"soil_saprotroph",NA,NA,NA,"none",NA,NA
"371","sp580",580,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA,"soil_saprotroph",NA,NA,NA,"none",NA,NA
"372","sp582",582,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Fusariella","hughesii","plant_pathogen",NA,NA,NA,NA,NA,NA
"373","sp583",583,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"374","sp585",585,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","tshawytschae","animal_parasite","plant_pathogen",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"375","sp588",588,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA,"plant_pathogen","litter_saprotroph",NA,NA,NA,NA,NA
"376","sp593",593,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,NA,NA,NA
"377","sp594",594,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","mexiusanum","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_delicate","/tuber-helvella"
"378","sp595",595,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neodidymelliopsis",NA,"litter_saprotroph",NA,NA,NA,NA,NA,NA
"379","sp599",599,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"380","sp600",600,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","tephrensis","soil_saprotroph",NA,NA,NA,NA,NA,NA
"381","sp602",602,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/hebeloma-alnicola"
"382","sp603",603,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","nodosa","litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"383","sp604",604,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","rishikesha","soil_saprotroph","root-associated","chitinolytic",NA,"none",NA,NA
"384","sp605",605,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","heteroderae","plant_pathogen",NA,NA,NA,"other",NA,NA
"385","sp607",607,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","subsulphurea","ectomycorrhizal",NA,NA,NA,"agaricoid","contact","/russula-lactarius"
"386","sp608",608,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum","flexuosum","unspecified_saprotroph","foliar_endophyte","soft_rot",NA,"none",NA,NA
"387","sp610",610,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia","perpusilla","arbuscular_mycorrhizal","root-associated",NA,NA,"none",NA,NA
"388","sp612",612,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"389","sp613",613,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","fici","foliar_endophyte","wood_saprotroph",NA,NA,NA,NA,NA
"390","sp614",614,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","candidum","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_delicate","/tuber-helvella"
"391","sp615",615,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Microscypha",NA,"litter_saprotroph",NA,NA,NA,"apothecium_(hymenium_on_surface)",NA,NA
"392","sp616",616,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","intestinacea","dung_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"393","sp617",617,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"394","sp618",618,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","minioluteus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"395","sp620",620,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
"396","sp622",622,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia",NA,"soil_saprotroph","rock-inhabiting",NA,NA,NA,NA,NA
"397","sp623",623,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","flaschentraegeri","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"398","sp625",625,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","armeniaca","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/inocybe"
"399","sp626",626,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA,"litter_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"400","sp627",627,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Arthrographis","grakistii","unspecified_saprotroph","animal_decomposer",NA,NA,NA,NA,NA
"401","sp628",628,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Trichothecium","sympodiale","plant_pathogen","litter_saprotroph",NA,NA,NA,NA,NA
"402","sp629",629,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Xenopolyscytalum",NA,"litter_saprotroph","foliar_endophyte",NA,NA,NA,NA,NA
"403","sp630",630,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium","nivale","plant_pathogen","foliar_endophyte",NA,NA,"none",NA,NA
"404","sp632",632,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","chartarum","plant_pathogen","litter_saprotroph",NA,NA,"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)",NA,NA
"405","sp633",633,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","polymorpha","unspecified_saprotroph","foliar_endophyte",NA,NA,"cleistothecium_(closed,_spherical)",NA,NA
"406","sp635",635,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,NA,NA,NA
"407","sp636",636,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","pleiospora","dung_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"408","sp637",637,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"409","sp638",638,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Polycephalomyces",NA,"animal_parasite","animal_decomposer",NA,NA,NA,NA,NA
"410","sp640",640,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","resedanus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"411","sp646",646,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","strictum","plant_pathogen","litter_saprotroph",NA,NA,NA,NA,NA
"412","sp648",648,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","mexiusanum","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_delicate","/tuber-helvella"
"413","sp649",649,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA,"litter_saprotroph","animal_parasite",NA,NA,"none",NA,NA
"414","sp650",650,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Papulaspora","byssina","wood_saprotroph","foliar_endophyte","mold",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"415","sp651",651,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza",NA,"soil_saprotroph","foliar_endophyte",NA,NA,"apothecium_(hymenium_on_surface)",NA,NA
"416","sp652",652,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia","indica","litter_saprotroph","dung_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"417","sp653",653,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","caulivorum","sooty_mold","litter_saprotroph",NA,NA,NA,NA,NA
"418","sp654",654,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Testudinaceae","Lepidosphaeria",NA,"litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"419","sp655",655,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"420","sp656",656,"Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiales_fam_Incertae_sedis","Phaeosclera",NA,"litter_saprotroph",NA,NA,NA,NA,NA,NA
"421","sp657",657,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","corylophilum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"422","sp658",658,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","longipes","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
"423","sp659",659,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","crustuliniforme","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/hebeloma-alnicola"
"424","sp660",660,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","subsulphurea","ectomycorrhizal",NA,NA,NA,"agaricoid","contact","/russula-lactarius"
"425","sp661",661,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Atrocalyx",NA,"wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"426","sp662",662,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Acrodontium","luzulae","plant_pathogen","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"427","sp663",663,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","deborreae","unspecified_saprotroph","foliar_endophyte",NA,NA,"cleistothecium_(closed,_spherical)",NA,NA
"428","sp665",665,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"429","sp666",666,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Antrodia","gossypium","wood_saprotroph",NA,"brown_rot",NA,"corticioid",NA,NA
"430","sp667",667,"Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium",NA,"algal_parasite","plant_pathogen",NA,NA,"zoosporangium",NA,NA
"431","sp672",672,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"432","sp673",673,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora",NA,"plant_pathogen","wood_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"433","sp678",678,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","kiliense","plant_pathogen","litter_saprotroph",NA,NA,NA,NA,NA
"434","sp679",679,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","rugulosus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"435","sp680",680,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","majus","soil_saprotroph","root_endophyte",NA,NA,NA,NA,NA
"436","sp681",681,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","areolatum","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"437","sp685",685,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Pezoloma","ericae","root_endophyte","soil_saprotroph",NA,NA,"apothecium_(hymenium_on_surface)",NA,NA
"438","sp686",686,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"439","sp687",687,"Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion",NA,"wood_saprotroph",NA,"soft_rot",NA,"hysterothecium_(opening_slith-like)",NA,NA
"440","sp689",689,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","flavus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"441","sp690",690,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"442","sp692",692,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"443","sp694",694,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","cepa","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"444","sp695",695,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"445","sp700",700,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","rugulosus","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"446","sp704",704,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia",NA,"soil_saprotroph","rock-inhabiting",NA,NA,NA,NA,NA
"447","sp705",705,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Subramaniula","cristata","unspecified_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"448","sp707",707,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Ijuhya",NA,"litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"449","sp709",709,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Immersiella","caudata","unspecified_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"450","sp710",710,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Ochronectria","thailandica","litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"451","sp711",711,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Pseudosigmoidea","alnicola","soil_saprotroph","root_endophyte_dark_septate",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"452","sp712",712,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"453","sp713",713,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"454","sp716",716,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","minourae","soil_saprotroph","root_endophyte_dark_septate",NA,NA,NA,NA,NA
"455","sp717",717,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Stephanosporaceae","Lindtneria",NA,"wood_saprotroph",NA,"white_rot",NA,"corticioid",NA,NA
"456","sp718",718,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","caulivorum","sooty_mold","litter_saprotroph",NA,NA,NA,NA,NA
"457","sp719",719,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","xenobiotica","animal_parasite","litter_saprotroph",NA,NA,NA,NA,NA
"458","sp721",721,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","rosacearum","wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"459","sp722",722,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","albohyalina","litter_saprotroph","wood_saprotroph",NA,"mosses","apothecium_(hymenium_on_surface)",NA,NA
"460","sp723",723,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","viticola","unspecified_saprotroph","animal_decomposer","other",NA,"other",NA,NA
