"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"191","sp268",268,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Arachniotus","hebridensis","soil_saprotroph",NA,NA,NA,NA,NA,NA
"192","sp271",271,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","cecidicola","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"193","sp272",272,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","flavipes","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"194","sp275",275,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Arxotrichum","succineum","soil_saprotroph",NA,NA,NA,"none",NA,NA
"195","sp276",276,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"196","sp278",278,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","piperis","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"197","sp280",280,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Choiromyces",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","contact","/tuber-helvella"
"198","sp281",281,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sesquicillium",NA,"litter_saprotroph",NA,NA,NA,NA,NA,NA
"199","sp286",286,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","olida","litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"200","sp287",287,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia","indica","litter_saprotroph","dung_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
